2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
2586,POLICE RCDS SVS CLK, 1.00 ,POLICE," 55,309 ",3259,POLICE RCDS SVS CLK, 1.00 ,51798.24,3259,POLICE RCDS SVS CLK,1.00,51798.24,3259,POLICE RCDS SVS CLK,1.00,51798.24,3259,POLICE RCDS SVS CLK,1,51798.24,3259,POLICE RCDS SVS CLK,1,52834.34,3259,POLICE RCDS SVS CLK,1,52834.34,3259,POLICE RCDS SVS CLK,1,52834.34,3259,POLICE RCDS SVS CLK,1,52834.34,3259,POLICE RCDS SVS CLK,1,52834.34,3259,POLICE RCDS SVS CLK,1,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,53362.66,3259,POLICE RCDS SVS CLK,1,53362.66,3259,POLICE RCDS SVS CLK,1,53362.66,3259,POLICE RCDS SVS CLK,1,53362.66,3259,POLICE RCDS SVS CLK, 1.00 ,55096.86,3259,POLICE RCDS SVS CLK-20, 1.00 ,55096.86,3259,POLICE RCDS SVS CLK-20, 1.00 ,55096.86
2588,CLERK-TYP 2, 1.00 ,POLICE," 50,334 ",1634,CLERK-TYP 2, 1.00 ,46693.66,1634,CLERK-TYP 2,1.00,46693.66,1634,CLERK-TYP 2,1.00,46693.66,1634,CLERK-TYP 2,1,46693.66,1634,CLERK-TYP 2,1,47627.58,1634,CLERK-TYP 2,1,47627.58,1634,CLERK-TYP 2,1,47627.58,1634,CLERK-TYP 2,1,47627.58,1634,CLERK-TYP 2,1,47627.58,1634,CLERK-TYP 2,1,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,1634,CLERK-TYP 2, 1.00 ,48103.90,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,12542,CLERK-TYP 1-20, 1.00 ,37336.00,12542,CLERK-TYP 1-20, 1.00 ,37336.00,12542,CLERK-TYP 1-20, 1.00 ,37336.00
2589,PROGRAM ASST 1, 1.00 ,POLICE," 58,522 ",1580,PROGRAM ASST 1, 1.00 ,54037.62,1580,PROGRAM ASST 1,1.00,54037.62,1580,PROGRAM ASST 1,1.00,54037.62,1580,PROGRAM ASST 1,1,54037.62,1580,PROGRAM ASST 1,1,55118.44,1580,PROGRAM ASST 1,1,55118.44,1580,PROGRAM ASST 1,1,55118.44,1580,PROGRAM ASST 1,1,55118.44,1580,PROGRAM ASST 1,1,55118.44,1580,PROGRAM ASST 1,1,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1, 1.00 ,55669.64,1580,PROGRAM ASST 1,1,55669.64,1580,PROGRAM ASST 1,1,55669.64,1580,PROGRAM ASST 1,1,55669.64,1580,PROGRAM ASST 1, 1.00 ,57478.98,1580,PROGRAM ASST 1-20, 1.00 ,57478.98,1580,PROGRAM ASST 1-20, 1.00 ,57478.98
2590,CLERK-TYP 2, 1.00 ,POLICE," 51,269 ",2134,CLERK-TYP 2, 1.00 ,47574.54,2134,CLERK-TYP 2,1.00,47574.54,2134,CLERK-TYP 2,1.00,47574.54,2134,CLERK-TYP 2,1,47574.54,2134,CLERK-TYP 2,1,48526.14,2134,CLERK-TYP 2,1,48526.14,2134,CLERK-TYP 2,1,48526.14,2134,CLERK-TYP 2,1,48526.14,2134,CLERK-TYP 2,1,48526.14,2134,CLERK-TYP 2,1,49011.30,2134,CLERK-TYP 2, 1.00 ,49011.30,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2, 1.00 ,49465.26,2134,CLERK-TYP 2,1,49465.26,2134,CLERK-TYP 2,1,49465.26,2134,CLERK-TYP 2,1,49465.26,2134,CLERK-TYP 2, 1.00 ,51072.84,2134,CLERK-TYP 2-20, 1.00 ,51072.84,2134,CLERK-TYP 2-20, 1.00 ,51072.84
2591,PKG ENFC OFF, 1.00 ,POLICE," 63,459 ",2002,PKG ENFC OFF, 1.00 ,58890.52,2002,PKG ENFC OFF,1.00,58890.52,2002,PKG ENFC OFF,1.00,58890.52,2002,PKG ENFC OFF,1,58890.52,2002,PKG ENFC OFF,1,60068.32,2002,PKG ENFC OFF,1,60068.32,2002,PKG ENFC OFF,1,60068.32,2002,PKG ENFC OFF,1,60068.32,2002,PKG ENFC OFF,1,60068.32,2002,PKG ENFC OFF,1,60669.18,2002,PKG ENFC OFF, 1.00 ,60669.18,2002,PKG ENFC OFF, 1.00 ,60669.18,2002,PKG ENFC OFF, 1.00 ,60669.18,2002,PKG ENFC OFF, 1.00 ,60669.18,2002,PKG ENFC OFF, 1.00 ,61225.84,2002,PKG ENFC OFF, 1.00 ,61225.84,2002,PKG ENFC OFF, 1.00 ,61225.84,2002,PKG ENFC OFF, 1.00 ,61225.84,2002,PKG ENFC OFF,1,61225.84,2002,PKG ENFC OFF,1,61225.84,2002,PKG ENFC OFF,1,61225.84,2002,PKG ENFC OFF, 1.00 ,63215.36,2002,PKG ENFC OFF-16, 1.00 ,63215.36,2002,PKG ENFC OFF-16, 1.00 ,63215.36
2592,POLICE RPT TYPIST 2, 1.00 ,POLICE," 53,814 ",3093,POLICE RPT TYPIST 2, 1.00 ,49465.00,3093,POLICE RPT TYPIST 2,1.00,49465.00,3093,POLICE RPT TYPIST 2,1.00,49465.00,3093,POLICE RPT TYPIST 2,1,49465.00,3093,POLICE RPT TYPIST 2,1,50454.30,3093,POLICE RPT TYPIST 2,1,50454.30,3093,POLICE RPT TYPIST 2,1,50454.30,3093,POLICE RPT TYPIST 2,1,50454.30,3093,POLICE RPT TYPIST 2,1,50454.30,3093,POLICE RPT TYPIST 2,1,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,50958.96,3093,POLICE RPT TYPIST 2, 1.00 ,51920.44,3093,POLICE RPT TYPIST 2,1,51920.44,3093,POLICE RPT TYPIST 2,1,51920.44,3093,POLICE RPT TYPIST 2,1,51920.44,3093,POLICE RPT TYPIST 2, 1.00 ,53607.84,3093,POLICE RPT TYPIST 2-20, 1.00 ,53607.84,3093,POLICE RPT TYPIST 2-20, 1.00 ,53607.84
2593,PKG ENFC OFF, 1.00 ,POLICE," 64,084 ",1690,PKG ENFC OFF, 1.00 ,59971.08,1690,PKG ENFC OFF,1.00,59971.08,1690,PKG ENFC OFF,1.00,59971.08,1690,PKG ENFC OFF,1,59971.08,1690,PKG ENFC OFF,1,61170.46,1690,PKG ENFC OFF,1,61170.46,1690,PKG ENFC OFF,1,61170.46,1690,PKG ENFC OFF,1,61170.46,1690,PKG ENFC OFF,1,61170.46,1690,PKG ENFC OFF,1,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF, 1.00 ,61782.24,1690,PKG ENFC OFF,1,61782.24,1690,PKG ENFC OFF,1,61782.24,1690,PKG ENFC OFF,1,61782.24,1690,PKG ENFC OFF, 1.00 ,63790.22,1690,PKG ENFC OFF-16, 1.00 ,63790.22,1690,PKG ENFC OFF-16, 1.00 ,63790.22
2594,PKG ENFC OFF, 1.00 ,POLICE," 64,036 ",2173,PKG ENFC OFF, 1.00 ,59971.08,2173,PKG ENFC OFF,1.00,59971.08,2173,PKG ENFC OFF,1.00,59971.08,2173,PKG ENFC OFF,1,59971.08,2173,PKG ENFC OFF,1,61170.46,2173,PKG ENFC OFF,1,61170.46,2173,PKG ENFC OFF,1,61170.46,2173,PKG ENFC OFF,1,61170.46,2173,PKG ENFC OFF,1,61170.46,2173,PKG ENFC OFF,1,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF, 1.00 ,61782.24,2173,PKG ENFC OFF,1,61782.24,2173,PKG ENFC OFF,1,61782.24,2173,PKG ENFC OFF,1,61782.24,2173,PKG ENFC OFF, 1.00 ,63790.22,2173,PKG ENFC OFF-16, 1.00 ,63790.22,2173,PKG ENFC OFF-16, 1.00 ,63790.22
2595,CLERK-TYP 2, 1.00 ,POLICE," 51,896 ",1172,CLERK-TYP 2, 1.00 ,48014.98,1172,CLERK-TYP 2,1.00,48014.98,1172,CLERK-TYP 2,1.00,48014.98,1172,CLERK-TYP 2,1,48014.98,1172,CLERK-TYP 2,1,48975.42,1172,CLERK-TYP 2,1,48975.42,1172,CLERK-TYP 2,1,49424.70,1172,CLERK-TYP 2,1,49424.70,1172,CLERK-TYP 2,1,49424.70,1172,CLERK-TYP 2,1,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2, 1.00 ,49918.96,1172,CLERK-TYP 2,1,49918.96,1172,CLERK-TYP 2,1,49918.96,1172,CLERK-TYP 2,1,49918.96,1172,CLERK-TYP 2, 1.00 ,51541.62,1172,CLERK-TYP 2-20, 1.00 ,51541.62,1172,CLERK-TYP 2-20, 1.00 ,51541.62
2598,PROGRAM ASST 1, 1.00 ,POLICE," 60,421 ",3746,PROGRAM ASST 1, 1.00 ,56586.66,3746,PROGRAM ASST 1,1.00,56586.66,3746,PROGRAM ASST 1,1.00,56586.66,3746,PROGRAM ASST 1,1,56586.66,3746,PROGRAM ASST 1,1,57718.18,3746,PROGRAM ASST 1,1,57718.18,3746,PROGRAM ASST 1,1,57718.18,3746,PROGRAM ASST 1,1,57718.18,3746,PROGRAM ASST 1,1,57718.18,3746,PROGRAM ASST 1,1,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1, 1.00 ,58295.38,3746,PROGRAM ASST 1,1,58295.38,3746,PROGRAM ASST 1,1,58295.38,3746,PROGRAM ASST 1,1,58295.38,3746,PROGRAM ASST 1, 1.00 ,60190.00,3746,PROGRAM ASST 1-20, 1.00 ,60190.00,3746,PROGRAM ASST 1-20, 1.00 ,60190.00
2599,PKG ENFC OFF, 1.00 ,POLICE," 64,612 ",1393,PKG ENFC OFF, 1.00 ,60511.36,1393,PKG ENFC OFF,1.00,60511.36,1393,PKG ENFC OFF,1.00,60511.36,1393,PKG ENFC OFF,1,60511.36,1393,PKG ENFC OFF,1,61721.66,1393,PKG ENFC OFF,1,61721.66,1393,PKG ENFC OFF,1,61721.66,1393,PKG ENFC OFF,1,61721.66,1393,PKG ENFC OFF,1,61721.66,1393,PKG ENFC OFF,1,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF, 1.00 ,62338.90,1393,PKG ENFC OFF,1,62338.90,1393,PKG ENFC OFF,1,62338.90,1393,PKG ENFC OFF,1,62338.90,1393,PKG ENFC OFF, 1.00 ,64364.82,1393,PKG ENFC OFF-16, 1.00 ,64364.82,1393,PKG ENFC OFF-16, 1.00 ,64364.82
2600,POLICE PROPERTY CLK, 1.00 ,POLICE," 54,522 ",7448,POLICE PROPERTY CLK 2-16, 1.00 ,48448.92,7448,POLICE PROPERTY CLK 2-16,1.00,48448.92,7448,POLICE PROPERTY CLK 2-16,1.00,48448.92,7448,POLICE PROPERTY CLK 2-16,1,48448.92,7448,POLICE PROPERTY CLK 2-16,1,49417.94,7448,POLICE PROPERTY CLK 2-16,1,49417.94,7448,POLICE PROPERTY CLK 2-16,1,49417.94,7448,POLICE PROPERTY CLK 2-16,1,50803.48,7448,POLICE PROPERTY CLK,1,50803.48,7448,POLICE PROPERTY CLK,1,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,51311.52,7448,POLICE PROPERTY CLK,1,51311.52,7448,POLICE PROPERTY CLK,1,51311.52,7448,POLICE PROPERTY CLK,1,51311.52,7448,POLICE PROPERTY CLK, 1.00 ,52979.16,7448,POLICE PROPERTY CLK 2-16, 1.00 ,52979.16,7448,POLICE PROPERTY CLK 2-16, 1.00 ,52979.16
2601,POLICE RPT TYPIST 2, 1.00 ,POLICE," 51,323 ",2395,POLICE RPT TYPIST 2-20, 1.00 ,46909.72,2395,POLICE RPT TYPIST 2-20,1.00,46909.72,2395,POLICE RPT TYPIST 2-20,1.00,46909.72,2395,POLICE RPT TYPIST 2-20,1,48064.90,2395,POLICE RPT TYPIST 2-20,1,49026.38,2395,POLICE RPT TYPIST 2-20,1,49026.38,2395,POLICE RPT TYPIST 2-20,1,49026.38,2395,POLICE RPT TYPIST 2-20,1,49026.38,2395,POLICE RPT TYPIST 2-20,1,49026.38,2395,POLICE RPT TYPIST 2-20,1,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,49516.74,2395,POLICE RPT TYPIST 2-20,1,49516.74,2395,POLICE RPT TYPIST 2-20,1,49516.74,2395,POLICE RPT TYPIST 2-20,1,49516.74,2395,POLICE RPT TYPIST 2-20, 1.00 ,51125.88,2395,POLICE RPT TYPIST 2-20, 1.00 ,51125.88,2395,POLICE RPT TYPIST 2-20, 1.00 ,51125.88
2603,POLICE RPT TYPIST 2, 1.00 ,POLICE," 51,323 ",5959,POLICE RPT TYPIST 1-20, 1.00 ,44050.50,5959,POLICE RPT TYPIST 1-20,1.00,44050.50,5959,POLICE RPT TYPIST 1-20,1.00,44050.50,5959,POLICE RPT TYPIST 2,1,44050.50,5959,POLICE RPT TYPIST 2,1,44931.64,5959,POLICE RPT TYPIST 2,1,44931.64,5959,POLICE RPT TYPIST 2,1,44931.64,5959,POLICE RPT TYPIST 2,1,44931.64,5959,POLICE RPT TYPIST 2,1,44931.64,5959,POLICE RPT TYPIST 2,1,45380.92,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,46918.82,5959,POLICE RPT TYPIST 2, 1.00 ,48326.46,5959,POLICE RPT TYPIST 2, 1.00 ,48326.46,5959,POLICE RPT TYPIST 2,1,48326.46,5959,POLICE RPT TYPIST 2,1,48326.46,5959,POLICE RPT TYPIST 2,1,48326.46,5959,POLICE RPT TYPIST 2, 1.00 ,49897.12,5959,POLICE RPT TYPIST 2-20, 1.00 ,51125.88,5959,POLICE RPT TYPIST 2-20, 1.00 ,51125.88
2605,PKG ENFC OFF, 1.00 ,POLICE," 64,612 ",2179,PKG ENFC OFF, 1.00 ,59971.08,2179,PKG ENFC OFF,1.00,59971.08,2179,PKG ENFC OFF,1.00,59971.08,2179,PKG ENFC OFF,1,59971.08,2179,PKG ENFC OFF,1,61170.46,2179,PKG ENFC OFF,1,61170.46,2179,PKG ENFC OFF,1,61170.46,2179,PKG ENFC OFF,1,61170.46,2179,PKG ENFC OFF,1,61170.46,2179,PKG ENFC OFF,1,61782.24,2179,PKG ENFC OFF, 1.00 ,61782.24,2179,PKG ENFC OFF, 1.00 ,61782.24,2179,PKG ENFC OFF, 1.00 ,61782.24,2179,PKG ENFC OFF, 1.00 ,61782.24,2179,PKG ENFC OFF, 1.00 ,62338.90,2179,PKG ENFC OFF, 1.00 ,62338.90,2179,PKG ENFC OFF, 1.00 ,62338.90,2179,PKG ENFC OFF, 1.00 ,62338.90,2179,PKG ENFC OFF,1,62338.90,2179,PKG ENFC OFF,1,62338.90,2179,PKG ENFC OFF,1,62338.90,2179,PKG ENFC OFF, 1.00 ,64364.82,2179,PKG ENFC OFF-16, 1.00 ,64364.82,2179,PKG ENFC OFF-16, 1.00 ,64364.82
2606,PKG ENFC OFF, 1.00 ,POLICE," 58,996 ",7538,PKG ENFC OFF, 1.00 ,51168.52,7538,PKG ENFC OFF,1.00,51168.52,7538,PKG ENFC OFF,1.00,51168.52,7538,PKG ENFC OFF,1,51168.52,7538,PKG ENFC OFF,1,52191.88,7538,PKG ENFC OFF,1,52191.88,7538,PKG ENFC OFF,1,52191.88,7538,PKG ENFC OFF,1,53581.58,7538,PKG ENFC OFF,1,53581.58,7538,PKG ENFC OFF,1,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF, 1.00 ,54117.44,7538,PKG ENFC OFF,1,54117.44,7538,PKG ENFC OFF,1,55659.76,7538,PKG ENFC OFF,1,55659.76,7538,PKG ENFC OFF, 1.00 ,57468.58,7538,PKG ENFC OFF-16, 1.00 ,57468.58,7538,PKG ENFC OFF-16, 1.00 ,57468.58
2607,PKG ENFC OFF, 1.00 ,POLICE," 64,612 ",2273,PKG ENFC OFF, 1.00 ,60511.36,2273,PKG ENFC OFF,1.00,60511.36,2273,PKG ENFC OFF,1.00,60511.36,2273,PKG ENFC OFF,1,60511.36,2273,PKG ENFC OFF,1,61721.66,2273,PKG ENFC OFF,1,61721.66,2273,PKG ENFC OFF,1,61721.66,2273,PKG ENFC OFF,1,61721.66,2273,PKG ENFC OFF,1,61721.66,2273,PKG ENFC OFF,1,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF, 1.00 ,62338.90,2273,PKG ENFC OFF,1,62338.90,2273,PKG ENFC OFF,1,62338.90,2273,PKG ENFC OFF,1,62338.90,2273,PKG ENFC OFF, 1.00 ,64364.82,2273,PKG ENFC OFF-16, 1.00 ,64364.82,2273,PKG ENFC OFF-16, 1.00 ,64364.82
2608,PKG ENFC OFF, 1.00 ,POLICE," 64,612 ",3343,PKG ENFC OFF, 1.00 ,60511.36,3343,PKG ENFC OFF,1.00,60511.36,3343,PKG ENFC OFF,1.00,60511.36,3343,PKG ENFC OFF,1,60511.36,3343,PKG ENFC OFF,1,61721.66,3343,PKG ENFC OFF,1,61721.66,3343,PKG ENFC OFF,1,61721.66,3343,PKG ENFC OFF,1,61721.66,3343,PKG ENFC OFF,1,61721.66,3343,PKG ENFC OFF,1,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF, 1.00 ,62338.90,3343,PKG ENFC OFF,1,62338.90,3343,PKG ENFC OFF,1,62338.90,3343,PKG ENFC OFF,1,62338.90,3343,PKG ENFC OFF, 1.00 ,64364.82,3343,PKG ENFC OFF-16, 1.00 ,64364.82,3343,PKG ENFC OFF-16, 1.00 ,64364.82
2648,CROSSING GUARD SUPV, 0.85 ,POLICE," 46,992 ",10230,CROSSING GUARD SUPV, 0.85 ,40926.90,10230,CROSSING GUARD SUPV,0.85,40926.90,10230,CROSSING GUARD SUPV,0.85,40926.90,10230,CROSSING GUARD SUPV,0.85,40926.90,10230,CROSSING GUARD SUPV,0.85,41745.49,10230,CROSSING GUARD SUPV,0.85,43009.96,10230,CROSSING GUARD SUPV,0.85,43009.96,10230,CROSSING GUARD SUPV,0.85,43009.96,10230,CROSSING GUARD SUPV,0.85,43009.96,10230,CROSSING GUARD SUPV,0.85,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,43440.11,10230,CROSSING GUARD SUPV, 0.85 ,44712.72,10230,CROSSING GUARD SUPV,0.85,44712.72,10230,CROSSING GUARD SUPV,0.85,44712.72,10230,CROSSING GUARD SUPV,0.85,44712.72,10230,CROSSING GUARD SUPV, 0.85 ,46165.84,10230,CROSSING GUARD SUPV-18  PT, 0.85 ,46165.84,10230,CROSSING GUARD SUPV-18  PT, 0.85 ,46165.84
2659,CROSSING GUARD SUPV, 0.85 ,POLICE," 54,598 ",2980,CROSSING GUARD SUPV, 0.85 ,50671.76,2980,CROSSING GUARD SUPV,0.85,50671.76,2980,CROSSING GUARD SUPV,0.85,50671.76,2980,CROSSING GUARD SUPV,0.85,50671.76,2980,CROSSING GUARD SUPV,0.85,51685.18,2980,CROSSING GUARD SUPV,0.85,51685.18,2980,CROSSING GUARD SUPV,0.85,51685.18,2980,CROSSING GUARD SUPV,0.85,51685.18,2980,CROSSING GUARD SUPV,0.85,52155.12,2980,CROSSING GUARD SUPV,0.85,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,52676.68,2980,CROSSING GUARD SUPV,0.85,52676.68,2980,CROSSING GUARD SUPV,0.85,52676.68,2980,CROSSING GUARD SUPV,0.85,52676.68,2980,CROSSING GUARD SUPV, 0.85 ,54388.81,2980,CROSSING GUARD SUPV-18  PT, 0.85 ,54388.81,2980,CROSSING GUARD SUPV-18  PT, 0.85 ,54388.81
